text,corrAns,letterColor,condsFile,condition,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
rojo,left,red,,,0,0,0,8,,,,,down,0,0.184545993805,2018_Aug_24_2003,60.178600124,emo_stroop,01,ddd,
verde,down,green,,,0,1,1,6,,,,,right,0,0.0512099266052,2018_Aug_24_2003,60.178600124,emo_stroop,01,ddd,
azul,right,blue,,,0,2,2,3,,,,,right,1,0.000452041625977,2018_Aug_24_2003,60.178600124,emo_stroop,01,ddd,
verde,down,green,,,0,3,3,4,,,,,right,0,0.034529209137,2018_Aug_24_2003,60.178600124,emo_stroop,01,ddd,
verde,down,green,,,0,4,4,5,,,,,right,0,0.101398944855,2018_Aug_24_2003,60.178600124,emo_stroop,01,ddd,
rojo,left,red,,,0,5,5,10,,,,,right,0,0.184195995331,2018_Aug_24_2003,60.178600124,emo_stroop,01,ddd,
rojo,right,blue,,,0,6,6,0,,,,,right,1,0.250654935837,2018_Aug_24_2003,60.178600124,emo_stroop,01,ddd,
azul,right,blue,,,0,7,7,2,,,,,right,1,0.217736005783,2018_Aug_24_2003,60.178600124,emo_stroop,01,ddd,
rojo,left,red,,,0,8,8,9,,,,,right,0,0.117750883102,2018_Aug_24_2003,60.178600124,emo_stroop,01,ddd,
verde,down,green,,,0,9,9,7,,,,,right,0,0.350829124451,2018_Aug_24_2003,60.178600124,emo_stroop,01,ddd,
azul,right,blue,,,0,10,10,1,,,,,right,1,0.467170953751,2018_Aug_24_2003,60.178600124,emo_stroop,01,ddd,
rojo,left,red,,,0,11,11,11,,,,,right,0,0.350961923599,2018_Aug_24_2003,60.178600124,emo_stroop,01,ddd,
negativa3,left,red,None,negative,,,,,0,0,0,6,right,0,0.616410017014,2018_Aug_24_2003,60.178600124,emo_stroop,01,ddd,
neutral2,down,green,None,neutral,,,,,0,1,1,4,right,0,0.317515134811,2018_Aug_24_2003,60.178600124,emo_stroop,01,ddd,
negativa2,down,green,None,negative,,,,,0,2,2,3,right,0,0.250997781754,2018_Aug_24_2003,60.178600124,emo_stroop,01,ddd,
negativa1,right,blue,"slice(10,18)",negative,,,,,0,3,3,0,right,1,0.184193849564,2018_Aug_24_2003,60.178600124,emo_stroop,01,ddd,
positiva3,left,red,None,positive,,,,,0,4,4,5,right,0,0.267188072205,2018_Aug_24_2003,60.178600124,emo_stroop,01,ddd,
neutral1,right,blue,None,neutral,,,,,0,5,5,1,right,1,0.234113931656,2018_Aug_24_2003,60.178600124,emo_stroop,01,ddd,
neutral3,left,red,None,neutral,,,,,0,6,6,7,right,0,0.199958086014,2018_Aug_24_2003,60.178600124,emo_stroop,01,ddd,
positiva2,down,green,None,positive,,,,,0,7,7,2,right,0,0.284257173538,2018_Aug_24_2003,60.178600124,emo_stroop,01,ddd,
positiva2,down,green,None,positive,,,,,1,0,8,2,right,0,0.31742310524,2018_Aug_24_2003,60.178600124,emo_stroop,01,ddd,
negativa2,down,green,None,negative,,,,,1,1,9,3,right,0,0.349582195282,2018_Aug_24_2003,60.178600124,emo_stroop,01,ddd,
neutral2,down,green,None,neutral,,,,,1,2,10,4,right,0,0.532567024231,2018_Aug_24_2003,60.178600124,emo_stroop,01,ddd,
neutral3,left,red,None,neutral,,,,,1,3,11,7,right,0,0.50018286705,2018_Aug_24_2003,60.178600124,emo_stroop,01,ddd,
positiva3,left,red,None,positive,,,,,1,4,12,5,right,0,0.417171001434,2018_Aug_24_2003,60.178600124,emo_stroop,01,ddd,
negativa3,left,red,None,negative,,,,,1,5,13,6,right,0,0.317408800125,2018_Aug_24_2003,60.178600124,emo_stroop,01,ddd,
neutral1,right,blue,None,neutral,,,,,1,6,14,1,right,1,0.184408187866,2018_Aug_24_2003,60.178600124,emo_stroop,01,ddd,
negativa1,right,blue,"slice(10,18)",negative,,,,,1,7,15,0,right,1,0.0845630168915,2018_Aug_24_2003,60.178600124,emo_stroop,01,ddd,
