text,letterColor,condition,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.rt,date,frameRate,expName,session,participant,
rojo,red,,0,0,0,8,,,,,left,0.716372013092,2018_Aug_24_1536,60.1540025901,emo_stroop,01,h,
azul,blue,,0,1,1,1,,,,,down,0.400740146637,2018_Aug_24_1536,60.1540025901,emo_stroop,01,h,
azul,blue,,0,2,2,3,,,,,left,0.284447908401,2018_Aug_24_1536,60.1540025901,emo_stroop,01,h,
verde,green,,0,3,3,7,,,,,left,0.349395036697,2018_Aug_24_1536,60.1540025901,emo_stroop,01,h,
rojo,red,,0,4,4,9,,,,,left,0.284253835678,2018_Aug_24_1536,60.1540025901,emo_stroop,01,h,
rojo,red,,0,5,5,10,,,,,left,0.250955820084,2018_Aug_24_1536,60.1540025901,emo_stroop,01,h,
rojo,blue,,0,6,6,0,,,,,left,0.234390974045,2018_Aug_24_1536,60.1540025901,emo_stroop,01,h,
verde,green,,0,7,7,4,,,,,left,0.283743858337,2018_Aug_24_1536,60.1540025901,emo_stroop,01,h,
verde,green,,0,8,8,5,,,,,left,0.217748165131,2018_Aug_24_1536,60.1540025901,emo_stroop,01,h,
rojo,red,,0,9,9,11,,,,,left,0.167778015137,2018_Aug_24_1536,60.1540025901,emo_stroop,01,h,
verde,green,,0,10,10,6,,,,,left,0.101248979568,2018_Aug_24_1536,60.1540025901,emo_stroop,01,h,
azul,blue,,0,11,11,2,,,,,left,0.201081037521,2018_Aug_24_1536,60.1540025901,emo_stroop,01,h,
negativa2,green,negative,,,,,0,0,0,4,left,1.38152122498,2018_Aug_24_1536,60.1540025901,emo_stroop,01,h,
neutral3,red,neutral,,,,,0,1,1,8,left,0.583652973175,2018_Aug_24_1536,60.1540025901,emo_stroop,01,h,
negativa1,blue,negative,,,,,0,2,2,1,left,0.566718101501,2018_Aug_24_1536,60.1540025901,emo_stroop,01,h,
negativa3,red,negative,,,,,0,3,3,7,left,0.367230892181,2018_Aug_24_1536,60.1540025901,emo_stroop,01,h,
positiva2,green,positive,,,,,0,4,4,3,left,0.417139053345,2018_Aug_24_1536,60.1540025901,emo_stroop,01,h,
positiva3,red,positive,,,,,0,5,5,6,left,0.317513942719,2018_Aug_24_1536,60.1540025901,emo_stroop,01,h,
neutral1,blue,neutral,,,,,0,6,6,2,left,0.317459821701,2018_Aug_24_1536,60.1540025901,emo_stroop,01,h,
neutral2,green,neutral,,,,,0,7,7,5,left,0.234368085861,2018_Aug_24_1536,60.1540025901,emo_stroop,01,h,
positiva1,blue,positive,,,,,0,8,8,0,left,0.28431391716,2018_Aug_24_1536,60.1540025901,emo_stroop,01,h,
