text,corrAns,letterColor,condition,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial_blocks.thisRepN,trial_blocks.thisTrialN,trial_blocks.thisN,trial_blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
azul,right,blue,,0,0,0,2,,,,,,,,,right,1,1.15109419823,2018_Sep_22_2021,59.8279464982,emo_stroop,01,j1,
rojo,left,red,,0,1,1,11,,,,,,,,,left,1,0.652132034302,2018_Sep_22_2021,59.8279464982,emo_stroop,01,j1,
azul,right,blue,,0,2,2,1,,,,,,,,,right,1,0.518569946289,2018_Sep_22_2021,59.8279464982,emo_stroop,01,j1,
azul,right,blue,,0,3,3,0,,,,,,,,,right,1,0.635337114334,2018_Sep_22_2021,59.8279464982,emo_stroop,01,j1,
rojo,left,red,,0,4,4,9,,,,,,,,,left,1,0.535219907761,2018_Sep_22_2021,59.8279464982,emo_stroop,01,j1,
azul,right,blue,,0,5,5,3,,,,,,,,,right,1,0.468909025192,2018_Sep_22_2021,59.8279464982,emo_stroop,01,j1,
verde,down,green,,0,6,6,6,,,,,,,,,down,1,0.502341032028,2018_Sep_22_2021,59.8279464982,emo_stroop,01,j1,
rojo,left,red,,0,7,7,10,,,,,,,,,left,1,0.701902866364,2018_Sep_22_2021,59.8279464982,emo_stroop,01,j1,
verde,down,green,,0,8,8,7,,,,,,,,,down,1,0.734704017639,2018_Sep_22_2021,59.8279464982,emo_stroop,01,j1,
verde,down,green,,0,9,9,5,,,,,,,,,down,1,0.668257951736,2018_Sep_22_2021,59.8279464982,emo_stroop,01,j1,
rojo,left,red,,0,10,10,8,,,,,,,,,left,1,0.568639993668,2018_Sep_22_2021,59.8279464982,emo_stroop,01,j1,
verde,down,green,,0,11,11,4,,,,,,,,,down,1,0.384969949722,2018_Sep_22_2021,59.8279464982,emo_stroop,01,j1,
negativa5,down,green,negative,,,,,0,0,0,0,0,0,0,4,down,1,0.884979963303,2018_Sep_22_2021,59.8279464982,emo_stroop,01,j1,
negativa6,left,red,negative,,,,,0,0,0,0,0,1,1,7,left,1,0.66681098938,2018_Sep_22_2021,59.8279464982,emo_stroop,01,j1,
positiva4,right,blue,positive,,,,,0,0,0,0,0,2,2,0,right,1,0.933182954788,2018_Sep_22_2021,59.8279464982,emo_stroop,01,j1,
positiva5,down,green,positive,,,,,0,0,0,0,0,3,3,3,down,1,0.700298070908,2018_Sep_22_2021,59.8279464982,emo_stroop,01,j1,
neutral6,left,red,neutral,,,,,0,0,0,0,0,4,4,8,left,1,0.484117031097,2018_Sep_22_2021,59.8279464982,emo_stroop,01,j1,
negativa4,right,blue,negative,,,,,0,0,0,0,0,5,5,1,right,1,0.451287984848,2018_Sep_22_2021,59.8279464982,emo_stroop,01,j1,
neutral5,down,green,neutral,,,,,0,0,0,0,0,6,6,5,down,1,0.417708158493,2018_Sep_22_2021,59.8279464982,emo_stroop,01,j1,
positiva6,left,red,positive,,,,,0,0,0,0,0,7,7,6,left,1,0.700522899628,2018_Sep_22_2021,59.8279464982,emo_stroop,01,j1,
neutral4,right,blue,neutral,,,,,0,0,0,0,0,8,8,2,right,1,0.451069831848,2018_Sep_22_2021,59.8279464982,emo_stroop,01,j1,
,,,,,,,,0,0,0,0,,,,,,,,2018_Sep_22_2021,59.8279464982,emo_stroop,01,j1,
neutral3,left,red,neutral,,,,,1,0,1,0,0,0,0,8,left,1,0.734194993973,2018_Sep_22_2021,59.8279464982,emo_stroop,01,j1,
negativa3,left,red,negative,,,,,1,0,1,0,0,1,1,7,left,1,0.718447208405,2018_Sep_22_2021,59.8279464982,emo_stroop,01,j1,
positiva1,right,blue,positive,,,,,1,0,1,0,0,2,2,0,right,1,0.633790016174,2018_Sep_22_2021,59.8279464982,emo_stroop,01,j1,
neutral2,down,green,neutral,,,,,1,0,1,0,0,3,3,5,down,1,0.667244911194,2018_Sep_22_2021,59.8279464982,emo_stroop,01,j1,
positiva2,down,green,positive,,,,,1,0,1,0,0,4,4,3,down,1,0.801295995712,2018_Sep_22_2021,59.8279464982,emo_stroop,01,j1,
neutral1,right,blue,neutral,,,,,1,0,1,0,0,5,5,2,right,1,0.601140975952,2018_Sep_22_2021,59.8279464982,emo_stroop,01,j1,
positiva3,left,red,positive,,,,,1,0,1,0,0,6,6,6,left,1,0.617501020432,2018_Sep_22_2021,59.8279464982,emo_stroop,01,j1,
negativa1,right,blue,negative,,,,,1,0,1,0,0,7,7,1,down,0,0.667641162872,2018_Sep_22_2021,59.8279464982,emo_stroop,01,j1,
negativa2,down,green,negative,,,,,1,0,1,0,0,8,8,4,down,1,0.850822925568,2018_Sep_22_2021,59.8279464982,emo_stroop,01,j1,
,,,,,,,,1,0,1,0,,,,,,,,2018_Sep_22_2021,59.8279464982,emo_stroop,01,j1,
