text,corrAns,letterColor,condsFile,condition,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
rojo,left,red,,,0,0,0,11,,,,,,,,,left,1,0.533846855164,2018_Aug_24_2012,60.1141713832,emo_stroop,01,ljk,
verde,down,green,,,0,1,1,5,,,,,,,,,right,0,0.716737031937,2018_Aug_24_2012,60.1141713832,emo_stroop,01,ljk,
azul,right,blue,,,0,2,2,1,,,,,,,,,down,0,0.018180847168,2018_Aug_24_2012,60.1141713832,emo_stroop,01,ljk,
verde,down,green,,,0,3,3,7,,,,,,,,,left,0,0.101246118546,2018_Aug_24_2012,60.1141713832,emo_stroop,01,ljk,
rojo,left,red,,,0,4,4,9,,,,,,,,,left,1,0.00129508972168,2018_Aug_24_2012,60.1141713832,emo_stroop,01,ljk,
azul,right,blue,,,0,5,5,3,,,,,,,,,down,0,0.0513429641724,2018_Aug_24_2012,60.1141713832,emo_stroop,01,ljk,
azul,right,blue,,,0,6,6,2,,,,,,,,,right,1,0.0682880878448,2018_Aug_24_2012,60.1141713832,emo_stroop,01,ljk,
rojo,left,red,,,0,7,7,8,,,,,,,,,right,0,0.0345950126648,2018_Aug_24_2012,60.1141713832,emo_stroop,01,ljk,
verde,down,green,,,0,8,8,4,,,,,,,,,right,0,0.00150895118713,2018_Aug_24_2012,60.1141713832,emo_stroop,01,ljk,
rojo,left,red,,,0,9,9,10,,,,,,,,,right,0,0.10156917572,2018_Aug_24_2012,60.1141713832,emo_stroop,01,ljk,
verde,down,green,,,0,10,10,6,,,,,,,,,right,0,0.300688028336,2018_Aug_24_2012,60.1141713832,emo_stroop,01,ljk,
rojo,right,blue,,,0,11,11,0,,,,,,,,,right,1,0.0347149372101,2018_Aug_24_2012,60.1141713832,emo_stroop,01,ljk,
neutral3,left,red,None,neutral,,,,,0,0,0,0,0,0,0,7,right,0,0.117582082748,2018_Aug_24_2012,60.1141713832,emo_stroop,01,ljk,
positiva2,down,green,None,positive,,,,,0,0,0,0,0,1,1,2,right,0,0.101168870926,2018_Aug_24_2012,60.1141713832,emo_stroop,01,ljk,
negativa2,down,green,None,negative,,,,,0,0,0,0,0,2,2,3,right,0,0.117385864258,2018_Aug_24_2012,60.1141713832,emo_stroop,01,ljk,
neutral1,right,blue,None,neutral,,,,,0,0,0,0,0,3,3,1,right,1,0.251210212708,2018_Aug_24_2012,60.1141713832,emo_stroop,01,ljk,
neutral2,down,green,None,neutral,,,,,0,0,0,0,0,4,4,4,right,0,0.134854078293,2018_Aug_24_2012,60.1141713832,emo_stroop,01,ljk,
positiva3,left,red,None,positive,,,,,0,0,0,0,0,5,5,5,right,0,0.184647083282,2018_Aug_24_2012,60.1141713832,emo_stroop,01,ljk,
negativa3,left,red,None,negative,,,,,0,0,0,0,0,6,6,6,right,0,0.15119099617,2018_Aug_24_2012,60.1141713832,emo_stroop,01,ljk,
negativa1,right,blue,"slice(10,18)",negative,,,,,0,0,0,0,0,7,7,0,right,1,0.200875997543,2018_Aug_24_2012,60.1141713832,emo_stroop,01,ljk,
,,,,,,,,,0,0,0,0,,,,,,,,2018_Aug_24_2012,60.1141713832,emo_stroop,01,ljk,
